Wall time,Step,Value
1581880465.471925,535,-1468.3017578125
1581880468.4126017,536,4507.01171875
1581880472.972159,537,-1087.3994140625
1581880475.862941,538,-6777.7255859375
1581880478.7713857,539,-1639.6444091796875
1581880481.6274383,540,3900.53076171875
1581880485.7822888,541,-4696.0693359375
1581880488.8627207,542,1047.802001953125
1581880491.8869603,543,-2572.306884765625
1581880494.8285043,544,4933.11865234375
1581880498.9841225,545,-3610.33251953125
1581880501.9095113,546,-3775.693359375
1581880504.8498328,547,3236.33740234375
1581880507.7824755,548,2394.314697265625
1581880512.102304,549,2585.27880859375
1581880515.0132465,550,-6122.76318359375
1581880521.104877,552,1686.2987060546875
1581880525.980208,553,2639.347412109375
1581880529.1387331,554,1792.8629150390625
1581880535.0174973,556,3802.2373046875
1581880539.0254583,557,-1436.939697265625
1581880541.9428654,558,-3833.4521484375
1581880544.8985145,559,2643.0078125
1581880547.821621,560,-3208.87255859375
1581880552.023743,561,269.2432861328125
1581880554.9263997,562,2911.943115234375
1581880557.9211476,563,5574.54931640625
1581880560.8401299,564,864.3911743164062
1581880565.402112,565,335.4894104003906
1581880568.2852716,566,4784.884765625
1581880571.1266654,567,-6054.10107421875
1581880574.0070457,568,-3243.044189453125
1581880578.594604,569,1716.7900390625
1581880581.721058,570,10687.20703125
1581880584.6905663,571,-8516.4365234375
1581880587.506498,572,2440.714111328125
1581880592.600327,573,1140.5732421875
1581880596.001455,574,-1271.7525634765625
1581880598.7026625,575,3099.96484375
1581880605.8301392,577,-3161.793701171875
1581880609.0573082,578,-2625.797607421875
1581880612.068,579,-6319.27880859375
1581880615.0791216,580,3913.046630859375
1581880620.5709407,581,-917.385009765625
1581880623.8808606,582,3128.060546875
1581880627.1629508,583,6622.21142578125
1581880629.9172282,584,4331.970703125
1581880634.127286,585,1816.318359375
1581880636.8815043,586,1150.3709716796875
1581880639.8277156,587,5510.2421875
1581880642.4452972,588,-7863.14892578125
1581880646.7089653,589,-309.1051025390625
1581880649.7256632,590,1547.457275390625
1581880655.0953963,592,4413.74853515625
1581880659.2979906,593,-4040.501953125
1581880662.198383,594,6567.634765625
1581880664.876724,595,4430.7373046875
1581880667.492309,596,-1312.1602783203125
1581880671.7192776,597,6379.75341796875
1581880674.6149764,598,7620.7890625
1581880677.7486506,599,-1186.59814453125
1581880680.5391636,600,2615.212890625
1581880684.2752435,601,-8844.359375
1581880686.9604497,602,-4080.5576171875
1581880689.9011593,603,3640.239013671875
1581880693.2451966,604,5476.47119140625
1581880699.4286242,605,-2777.465576171875
1581880703.09717,606,-7078.201171875
1581880708.7410505,607,-6649.65185546875
1581880719.2481036,609,258.2430419921875
1581880725.9479184,611,3003.766357421875
1581880728.7833035,612,10858.7998046875
1581880733.1143162,613,7895.56591796875
1581880735.883985,614,5389.9111328125
1581880741.47326,616,-3229.593017578125
1581880752.9559457,620,-233.0869598388672
1581880757.0570893,621,3165.305908203125
1581880759.8117328,622,2740.09375
1581880762.4167988,623,-2718.297119140625
1581880765.0642734,624,2615.20947265625
1581880768.9573631,625,816.935546875
1581880771.6072025,626,2064.795654296875
1581880774.2437766,627,6899.23828125
1581880783.045484,630,-1580.4674072265625
1581880785.654026,631,-1075.588623046875
1581880788.2590685,632,1304.6798095703125
1581880792.5209842,633,4931.2734375
1581880798.2687995,635,-8890.2626953125
1581880800.8884408,636,-8659.57421875
1581880804.8535457,637,-1074.6728515625
1581880810.099126,639,-2710.094970703125
1581880812.7682624,640,1879.7767333984375
1581880817.1538928,641,5769.0244140625
1581880820.0814323,642,-2.900266647338867
1581880822.791853,643,-4047.96337890625
1581880825.484075,644,2915.71044921875
1581880830.1039782,645,2828.109130859375
1581880832.8455179,646,3224.817138671875
1581880835.5136368,647,4854.51416015625
1581880838.1645591,648,1411.8289794921875
1581880841.695704,649,-3970.740966796875
1581880844.3288972,650,-4942.291015625
1581880846.9539065,651,-10166.9189453125
1581880849.5950508,652,-4701.85107421875
1581880853.8269699,653,73.03878784179688
1581880856.5068035,654,2347.6298828125
1581880866.240984,657,5163.53076171875
1581880868.9515197,658,5623.00341796875
1581880871.5851812,659,-3563.78271484375
1581880874.206065,660,627.0357666015625
1581880878.479749,661,-961.0326538085938
1581880881.2131472,662,-6679.77294921875
1581880883.8868208,663,-8920.212890625
1581880886.5102308,664,2527.19384765625
1581880891.1786294,665,-4835.22265625
1581880893.910623,666,-2837.12451171875
1581880896.514169,667,469.645263671875
1581880899.1485019,668,88.96068572998047
1581880903.401839,669,-2389.56103515625
1581880906.2426329,670,-5117.30029296875
1581880911.47578,672,1804.7388916015625
1581880915.7016268,673,-1899.0894775390625
1581880918.723618,674,-11005.71875
1581880921.3526595,675,-318.7231750488281
1581880924.0027354,676,-1140.5390625
1581880927.5051475,677,2646.6123046875
1581880930.1528916,678,-2982.939453125
1581880932.7431648,679,2149.87158203125
1581880935.3883836,680,-956.62548828125
1581880939.0330577,681,2160.954833984375
1581880941.6890104,682,-1275.457275390625
1581880944.3332958,683,8609.744140625
1581880946.9343581,684,2045.92041015625
1581880951.6372762,685,184.62945556640625
1581880954.3874495,686,3595.700927734375
1581880956.9904463,687,-1000.0859985351562
1581880959.6004376,688,-1714.8424072265625
1581880963.8120825,689,-1694.983154296875
1581880966.5770257,690,1531.651611328125
1581880969.1695104,691,-1945.364990234375
1581880971.7726278,692,3185.58935546875
1581880975.9649684,693,-3110.177734375
1581880981.620351,695,5839.453125
1581880988.4784184,697,4949.22802734375
1581880996.5358555,700,208.67974853515625
1581881000.8436558,701,8840.115234375
1581881003.5578773,702,-6516.97802734375
1581881006.2610967,703,-2579.017578125
1581881009.2571423,704,-6150.10205078125
1581881013.222328,705,-5499.1279296875
1581881016.0883443,706,-7668.9970703125
1581881018.7316415,707,2690.4345703125
1581881021.3385546,708,-5453.09130859375
1581881024.8830805,709,-1133.073974609375
1581881027.5066369,710,-6645.39794921875
1581881030.4674802,711,3799.03271484375
1581881033.3134966,712,1419.7762451171875
1581881038.0502136,713,6950.58740234375
1581881043.548788,715,-338.63616943359375
1581881046.182941,716,1889.433349609375
1581881050.0967457,717,5184.60400390625
1581881055.438586,719,10750.3095703125
1581881058.020655,720,4504.08056640625
1581881062.2468069,721,165.48736572265625
1581881064.970387,722,3078.850830078125
1581881068.0295758,723,2908.06494140625
